SrNo,TrackID,TrackName,AlbumName,Artist,ReleaseDate,Popularity,Length,Genre,Month,Year
78,1ZozJfi8u9cO2Ob8KwiwNT,Higher,Human Clay,Creed,01-01-1999,77,316733,post-grunge,1,1999
79,2avKuMN2QXkaG9vvHa2JLt,Take A Look Around,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,17-10-2000,76,321040,alternative metal,10,2000
80,2avKuMN2QXkaG9vvHa2JLt,Take A Look Around,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,17-10-2000,76,321040,funk metal,10,2000
81,2avKuMN2QXkaG9vvHa2JLt,Take A Look Around,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,17-10-2000,76,321040,nu metal,10,2000
82,2avKuMN2QXkaG9vvHa2JLt,Take A Look Around,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,17-10-2000,76,321040,post-grunge,10,2000
83,2avKuMN2QXkaG9vvHa2JLt,Take A Look Around,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,17-10-2000,76,321040,rap metal,10,2000
84,2avKuMN2QXkaG9vvHa2JLt,Take A Look Around,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,17-10-2000,76,321040,rock,10,2000
85,35o9a4iAfLl5jRmqMX9c1D,Shape of My Heart,Black & Blue,Backstreet Boys,21-11-2000,74,230093,boy band,11,2000
86,35o9a4iAfLl5jRmqMX9c1D,Shape of My Heart,Black & Blue,Backstreet Boys,21-11-2000,74,230093,dance pop,11,2000
87,35o9a4iAfLl5jRmqMX9c1D,Shape of My Heart,Black & Blue,Backstreet Boys,21-11-2000,74,230093,pop,11,2000
88,0LWkaEyQRkF0XAms8Bg1fC,Party Up,...And Then There Was X,DMX,21-12-1999,73,268866,east coast hip hop,12,1999
89,0LWkaEyQRkF0XAms8Bg1fC,Party Up,...And Then There Was X,DMX,21-12-1999,73,268866,gangster rap,12,1999
90,0LWkaEyQRkF0XAms8Bg1fC,Party Up,...And Then There Was X,DMX,21-12-1999,73,268866,hardcore hip hop,12,1999
91,0LWkaEyQRkF0XAms8Bg1fC,Party Up,...And Then There Was X,DMX,21-12-1999,73,268866,hip hop,12,1999
92,0LWkaEyQRkF0XAms8Bg1fC,Party Up,...And Then There Was X,DMX,21-12-1999,73,268866,rap,12,1999
