,genre,track_count,index,track_popularity,danceability,energy,instrumentalness,liveness,speechiness,loudness,tempo,valence
nashville_indie,nashville indie,1,nashville_indie,74.0,0.621,0.31,6.12e-05,0.117,0.0283,-10.164,111.893,0.125
dutch_trance,dutch trance,1,dutch_trance,72.0,0.551,0.833,2.77e-06,0.0632,0.03,-5.217,129.885,0.145
dutch_edm,dutch edm,8,dutch_edm,73.0,0.62825,0.7328749999999999,0.05817722875,0.198625,0.06457500000000001,-5.381125,126.62075,0.36188750000000003
aussietronica,aussietronica,2,aussietronica,76.5,0.6405000000000001,0.761,2.095e-05,0.07915,0.0419,-5.4725,122.0385,0.6875
melbourne_bounce,melbourne bounce,3,melbourne_bounce,69.66666666666667,0.6353333333333332,0.855,0.0,0.4183666666666666,0.12076666666666667,-3.825333333333333,127.67133333333334,0.628
moombahton,moombahton,5,moombahton,70.8,0.6464,0.8446,0.000413442,0.28158,0.064,-3.9219999999999997,113.0762,0.5351999999999999
jordanian_pop,jordanian pop,1,jordanian_pop,67.0,0.725,0.874,0.000412,0.0958,0.0396,-3.715,127.985,0.748
comic,comic,1,comic,65.0,0.703,0.867,0.0,0.119,0.0453,-4.292,128.008,0.546
uk_contemporary_r&b,uk contemporary r&b,8,uk_contemporary_r&b,74.375,0.610375,0.744375,9.7275e-06,0.1426625,0.06846250000000001,-4.895,111.26150000000001,0.388
afrobeats,afrobeats,6,afrobeats,79.83333333333333,0.7676666666666666,0.7023333333333334,0.0008807633333333333,0.25658333333333333,0.08773333333333333,-5.060666666666666,106.98633333333333,0.6325000000000001
teen_pop,teen pop,2,teen_pop,76.0,0.6160000000000001,0.784,0.0,0.1675,0.0339,-4.455500000000001,140.065,0.603
latin_viral_pop,latin viral pop,3,latin_viral_pop,76.33333333333333,0.7823333333333333,0.6806666666666666,1.1966666666666667e-05,0.14056666666666665,0.13119999999999998,-5.184,98.98266666666666,0.43533333333333335
rap_latina,rap latina,2,rap_latina,77.5,0.7565,0.671,6.46e-05,0.27,0.0524,-5.2855,99.99199999999999,0.48
tropical_house,tropical house,15,tropical_house,74.8,0.6907999999999999,0.6867333333333334,0.00012225599999999998,0.22805999999999998,0.06504666666666666,-6.6678000000000015,114.86113333333333,0.5214666666666666
broadway,broadway,2,broadway,75.0,0.48,0.6545,0.02725,0.09625,0.06775,-7.105,147.4405,0.3855
show_tunes,show tunes,2,show_tunes,75.0,0.48,0.6545,0.02725,0.09625,0.06775,-7.105,147.4405,0.3855
australian_hip_hop,australian hip hop,6,australian_hip_hop,74.16666666666667,0.7231666666666666,0.6948333333333333,6.5805e-05,0.11095,0.08591666666666666,-5.308666666666666,129.07716666666667,0.4896666666666667
german_pop,german pop,1,german_pop,76.0,0.879,0.565,0.000239,0.0798,0.037,-8.809,114.009,0.685
uk_funky,uk funky,7,uk_funky,76.57142857142857,0.7298571428571428,0.6639999999999999,0.00027005285714285713,0.2145,0.04604285714285715,-5.375,107.43971428571429,0.5141428571428571
