,track_id,track,track_popularity,data_added,top_year,album_name,album_release_year,genre,artists_name,artists_popularity,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artists_popularity_highest,genre_list
1587,0fgZUSa7D7aVvv3GfO0A1n,Post to Be (feat. Chris Brown & Jhene Aiko),72.0,2020-06-20T06:19:41Z,2015,Post to Be (feat. Chris Brown & Jhene Aiko),2014-12-02,"dance pop,hip pop,r&b,rap,southern hip hop,trap,urban contemporary,r&b,rap,r&b","Omarion,Chris Brown,Jhené Aiko","2847397,20924958,7037103",226580.0,0.733,0.676,-5.655,0.0432,0.0697,0.0,0.208,0.701,97.448,20924958,"['dance pop', 'hip pop', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary', 'r&b', 'rap', 'r&b']"
1588,13HVjjWUZFaWilh2QUJKsP,Let It Go,71.0,2020-06-20T06:19:41Z,2015,Let It Go,2014-12-15,"neo mellow,pop,uk pop",James Bay,3986290,260532.0,0.546,0.311,-10.396,0.0288,0.818,1.65e-05,0.107,0.246,147.464,3986290,"['neo mellow', 'pop', 'uk pop']"
1589,3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,71.0,2020-06-20T06:19:41Z,2015,Please Don't Go,2015-11-06,"australian pop,pop soul",Joel Adams,191921,210580.0,0.513,0.768,-4.868,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,191921,"['australian pop', 'pop soul']"
1590,6gj08XDlv9Duc2fPOxUmVD,Lips Are Movin,71.0,2020-06-20T06:19:41Z,2015,Lips Are Movin,2015-01-09,"hip pop,pop",Meghan Trainor,14293149,182666.0,0.775,0.825,-5.402,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,14293149,"['hip pop', 'pop']"
1591,0hy1SOTEn9ifXTzOwnCwEr,All Eyes on You (feat. Chris Brown & Nicki Minaj),71.0,2020-06-20T06:19:41Z,2015,All Eyes on You (feat. Chris Brown & Nicki Minaj),2015-06-29,"hip hop,philly rap,pop rap,rap,southern hip hop,trap,r&b,rap,hip pop,pop,queens hip hop,rap","Meek Mill,Chris Brown,Nicki Minaj","7698170,20924958,30230882",223973.0,0.589,0.658,-5.288,0.203,0.0242,0.0,0.118,0.251,77.521,30230882,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'r&b', 'rap', 'hip pop', 'pop', 'queens hip hop', 'rap']"
1592,02M6vucOvmRfMxTXDUwRXu,7/11,71.0,2020-06-20T06:19:41Z,2015,7/11,2014-11-24,"pop,r&b",Beyoncé,36497674,213506.0,0.747,0.705,-5.137,0.126,0.0128,0.0,0.126,0.56,136.024,36497674,"['pop', 'r&b']"
1593,4Tt6GiWS2V9sQjZjS2xjp2,"Honey, I'm Good.",71.0,2020-06-20T06:19:41Z,2015,"Honey, I'm Good.",2015-11-20,"neo mellow,post-teen pop,viral pop",Andy Grammer,1184950,199263.0,0.754,0.802,-6.424,0.0551,0.0349,0.0,0.335,0.583,122.026,1184950,"['neo mellow', 'post-teen pop', 'viral pop']"
1594,4NYwy0R3NdvORX2B6OZXBT,Slow Motion,70.0,2020-06-20T06:19:41Z,2015,Slow Motion,2015-06-23,"dance pop,r&b,southern hip hop,trap,urban contemporary",Trey Songz,7460655,197854.0,0.733,0.408,-7.834,0.0388,0.679,3.92e-05,0.11,0.291,94.947,7460655,"['dance pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
1595,3ieLey98V9mIIh3W9gBlPF,Barcelona,70.0,2021-08-10T04:26:14Z,2015,Barcelona,2014-06-30,"folk-pop,neo-singer-songwriter,talent show",George Ezra,4145700,188960.0,0.629,0.572,-9.332,0.0307,0.32,0.000853,0.109,0.182,93.997,4145700,"['folk-pop', 'neo-singer-songwriter', 'talent show']"
1596,500mvzh7TRZ0YdnVeHhj8b,Light It Up - Remix,70.0,2020-06-20T06:19:41Z,2015,Light It Up - Remix,2015-11-27,"dance pop,edm,electro house,moombahton,pop,pop dance,afrobeats,azonto","Major Lazer,Nyla,Fuse ODG","6337118,5020,139169",166138.0,0.747,0.877,-3.782,0.0664,0.0375,0.000833,0.233,0.752,107.991,6337118,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'afrobeats', 'azonto']"
