,artist,track_count,index,track_popularity,danceability,energy,instrumentalness,liveness,speechiness,loudness,tempo,valence
Daniel_Bedingfield,Daniel Bedingfield,1,Daniel_Bedingfield,53.0,0.837,0.765,7.08e-05,0.1,0.0631,-5.007,133.57,0.912
D'N'D_Productions,D'N'D Productions,1,D'N'D_Productions,53.0,0.837,0.765,7.08e-05,0.1,0.0631,-5.007,133.57,0.912
Dirty_Vegas,Dirty Vegas,1,Dirty_Vegas,52.0,0.786,0.853,0.0872,0.35,0.0688,-8.274,126.99,0.309
50_Cent,50 Cent,13,50_Cent,72.76923076923077,0.7147692307692307,0.7193076923076924,0.0005051384615384616,0.13903846153846156,0.26346153846153847,-5.12276923076923,109.13069230769231,0.6574615384615385
The_White_Stripes,The White Stripes,1,The_White_Stripes,86.0,0.743,0.446,0.118,0.337,0.0683,-7.807,123.596,0.278
Beyoncé,Beyoncé,20,Beyoncé,70.6,0.6407499999999999,0.672,0.00011102850000000002,0.19013,0.160575,-6.28085,123.96619999999999,0.51475
Black_Eyed_Peas,Black Eyed Peas,14,Black_Eyed_Peas,70.57142857142857,0.7712857142857142,0.7372857142857142,0.001871455,0.3723214285714286,0.14504999999999998,-5.853214285714286,117.06550000000001,0.5715
Jadakiss,Jadakiss,1,Jadakiss,59.0,0.84,0.762,3.77e-06,0.0615,0.226,-5.454,99.987,0.946
Styles_P,Styles P,1,Styles_P,59.0,0.84,0.762,3.77e-06,0.0615,0.226,-5.454,99.987,0.946
Evanescence,Evanescence,3,Evanescence,77.66666666666667,0.3236666666666667,0.6970000000000001,6.866666666666667e-07,0.223,0.0526,-5.4959999999999996,89.01133333333333,0.2416666666666667
Audioslave,Audioslave,1,Audioslave,80.0,0.614,0.568,0.0,0.0997,0.0276,-5.477,107.849,0.516
t.A.T.u.,t.A.T.u.,1,t.A.T.u.,78.0,0.603,0.834,0.00609,0.105,0.0417,-5.766,89.957,0.376
Three_Days_Grace,Three Days Grace,1,Three_Days_Grace,77.0,0.498,0.83,0.0,0.139,0.0421,-5.157,89.342,0.453
Michael_Bublé,Michael Bublé,5,Michael_Bublé,71.4,0.6308,0.6449999999999999,3.946e-06,0.13923999999999997,0.03132,-5.700799999999999,128.62640000000002,0.631
Baby_Bash,Baby Bash,3,Baby_Bash,69.33333333333333,0.7416666666666667,0.6293333333333333,5.62e-06,0.09006666666666667,0.21366666666666667,-3.4986666666666664,88.22533333333332,0.6103333333333333
Frankie_J,Frankie J,2,Frankie_J,75.0,0.662,0.748,8.43e-06,0.0841,0.268,-3.041,82.331,0.535
Trapt,Trapt,1,Trapt,74.0,0.492,0.896,2.78e-06,0.189,0.117,-5.819,184.981,0.534
The_Darkness,The Darkness,1,The_Darkness,71.0,0.442,0.846,4.71e-06,0.282,0.0764,-5.214,128.235,0.622
Jamelia,Jamelia,1,Jamelia,71.0,0.801,0.645,0.0,0.0357,0.0356,-6.93,110.011,0.824
Sleepy_Brown,Sleepy Brown,2,Sleepy_Brown,71.0,0.871,0.597,0.000113,0.0638,0.0464,-4.932,125.999,0.635
Good_Charlotte,Good Charlotte,1,Good_Charlotte,71.0,0.62,0.93,0.0,0.0686,0.0374,-3.685,106.22,0.609
Chingy,Chingy,5,Chingy,63.6,0.8048000000000002,0.6748,0.0,0.11643999999999999,0.19996,-5.2794,118.93140000000001,0.7545999999999999
Kid_Rock,Kid Rock,2,Kid_Rock,72.0,0.696,0.6799999999999999,3.21e-06,0.1013,0.0262,-5.4805,100.471,0.6315
Fabolous,Fabolous,5,Fabolous,63.6,0.6624000000000001,0.6314,0.0,0.25816,0.15402,-6.4756,145.1504,0.6918
Tamia,Tamia,1,Tamia,69.0,0.546,0.538,0.0,0.118,0.0523,-7.886,182.12,0.58
Benny_Benassi,Benny Benassi,2,Benny_Benassi,61.0,0.604,0.7364999999999999,0.074655,0.0794,0.1325,-4.9959999999999996,128.95749999999998,0.4375
The_Biz,The Biz,1,The_Biz,69.0,0.793,0.698,0.145,0.0745,0.104,-3.626,130.017,0.339
Uncle_Charlie_Wilson,Uncle Charlie Wilson,1,Uncle_Charlie_Wilson,67.0,0.893,0.74,0.0,0.0881,0.132,-4.936,101.025,0.963
Wayne_Wonder,Wayne Wonder,1,Wayne_Wonder,66.0,0.496,0.819,0.000215,0.177,0.0444,-5.656,100.215,0.317
Switchfoot,Switchfoot,1,Switchfoot,66.0,0.397,0.903,1.6e-06,0.362,0.0457,-4.577,151.551,0.556
Tyrese,Tyrese,2,Tyrese,65.5,0.7595000000000001,0.516,0.0,0.09459999999999999,0.16585,-5.1585,96.4565,0.556
Monica,Monica,1,Monica,65.0,0.618,0.552,0.0,0.252,0.0981,-6.863,81.975,0.586
The_Roots,The Roots,1,The_Roots,65.0,0.758,0.957,0.0,0.133,0.0357,-2.281,111.121,0.966
Cody_Chesnutt,Cody Chesnutt,1,Cody_Chesnutt,65.0,0.758,0.957,0.0,0.133,0.0357,-2.281,111.121,0.966
Mike_Shorey,Mike Shorey,1,Mike_Shorey,64.0,0.646,0.6,0.0,0.0794,0.458,-6.569,192.082,0.811
Lil'_Mo,Lil' Mo,1,Lil'_Mo,64.0,0.646,0.6,0.0,0.0794,0.458,-6.569,192.082,0.811
Counting_Crows,Counting Crows,1,Counting_Crows,64.0,0.678,0.866,0.0,0.16,0.048,-4.341,88.041,0.842
Panjabi_MC,Panjabi MC,1,Panjabi_MC,64.0,0.777,0.852,0.657,0.136,0.0362,-6.625,98.073,0.907
Floetry,Floetry,1,Floetry,64.0,0.747,0.398,1.42e-06,0.113,0.0743,-12.932,117.901,0.428
Lumidee,Lumidee,1,Lumidee,64.0,0.811,0.657,0.712,0.0798,0.362,-6.197,199.958,0.777
Murphy_Lee,Murphy Lee,2,Murphy_Lee,59.5,0.6555,0.6335000000000001,0.0,0.124,0.306,-7.2445,125.54350000000001,0.7625
Ali,Ali,1,Ali,64.0,0.784,0.459,0.0,0.079,0.317,-9.74,164.062,0.618
Kyjuan,Kyjuan,1,Kyjuan,64.0,0.784,0.459,0.0,0.079,0.317,-9.74,164.062,0.618
Shawnna,Shawnna,1,Shawnna,63.0,0.751,0.84,0.0,0.0916,0.349,-4.855,99.057,0.801
Mis-Teeq,Mis-Teeq,1,Mis-Teeq,62.0,0.734,0.668,0.0,0.0925,0.0349,-3.935,99.971,0.651
Elton_John,Elton John,3,Elton_John,72.33333333333333,0.718,0.6706666666666666,1.4696666666666666e-05,0.18466666666666667,0.0363,-6.1593333333333335,91.85199999999999,0.6823333333333332
Room_5,Room 5,1,Room_5,62.0,0.883,0.887,0.63,0.0367,0.116,-4.92,124.814,0.648
Oliver_Cheatham,Oliver Cheatham,1,Oliver_Cheatham,62.0,0.883,0.887,0.63,0.0367,0.116,-4.92,124.814,0.648
Junior_Senior,Junior Senior,1,Junior_Senior,61.0,0.755,0.895,0.0737,0.222,0.0883,-2.619,118.871,0.844
Simply_Red,Simply Red,1,Simply_Red,61.0,0.788,0.728,0.23,0.0979,0.0295,-5.123,105.983,0.936
Girls_Aloud,Girls Aloud,3,Girls_Aloud,58.0,0.6296666666666667,0.8809999999999999,0.0025722333333333333,0.15083333333333335,0.044399999999999995,-5.367333333333334,138.143,0.7906666666666666
Jaheim,Jaheim,2,Jaheim,60.0,0.6245,0.5885,7.45e-07,0.1411,0.08715,-6.5205,121.044,0.5775
Youngbloodz,Youngbloodz,1,Youngbloodz,58.0,0.772,0.724,0.0,0.355,0.307,-5.799,84.038,0.518
Lil_Jon,Lil Jon,5,Lil_Jon,71.0,0.8346,0.749,0.0256,0.16836,0.1751,-4.9046,99.39059999999999,0.5253
Ultrabeat,Ultrabeat,1,Ultrabeat,58.0,0.553,0.775,0.0,0.0728,0.043,-10.284,139.993,0.51
Electric_Six,Electric Six,1,Electric_Six,57.0,0.66,0.698,0.166,0.0517,0.0302,-4.722,123.005,0.511
B2K,B2K,1,B2K,54.0,0.834,0.685,0.0,0.0514,0.225,-5.862,95.507,0.877
Will_Young,Will Young,1,Will_Young,54.0,0.641,0.445,0.0,0.108,0.0368,-8.674,81.931,0.383
Delta_Goodrem,Delta Goodrem,1,Delta_Goodrem,54.0,0.581,0.747,1.69e-06,0.193,0.0283,-6.682,146.301,0.514
Maroon_5,Maroon 5,14,Maroon_5,70.92857142857143,0.7000714285714285,0.7217857142857144,2.557142857142857e-05,0.18178571428571427,0.04268571428571428,-5.2557857142857145,113.23321428571428,0.6337142857142858
Hoobastank,Hoobastank,1,Hoobastank,83.0,0.472,0.671,0.0,0.159,0.029,-4.649,82.952,0.0681
The_Killers,The Killers,3,The_Killers,81.33333333333333,0.4586666666666666,0.8996666666666666,0.016533333333333334,0.15670000000000003,0.08226666666666667,-5.673333333333335,137.97866666666667,0.3796666666666666
Daddy_Yankee,Daddy Yankee,7,Daddy_Yankee,76.85714285714286,0.751,0.8118571428571429,4.194714285714285e-05,0.17302857142857145,0.09058571428571428,-4.245285714285714,119.69457142857144,0.762857142857143
Green_Day,Green Day,4,Green_Day,81.0,0.42250000000000004,0.8065,2.7e-05,0.28752500000000003,0.040049999999999995,-4.0555,154.483,0.45124999999999993
Kanye_West,Kanye West,28,Kanye_West,75.57142857142857,0.63575,0.7150357142857143,0.035720539642857145,0.2346392857142857,0.21299285714285712,-5.663035714285714,113.43182142857144,0.46857142857142847
Syleena_Johnson,Syleena Johnson,1,Syleena_Johnson,83.0,0.657,0.734,0.0,0.139,0.484,-4.832,91.03,0.434
Franz_Ferdinand,Franz Ferdinand,2,Franz_Ferdinand,72.0,0.34450000000000003,0.8035,0.0005015,0.4685,0.041249999999999995,-5.858499999999999,113.826,0.6585000000000001
Keane,Keane,2,Keane,71.0,0.471,0.8049999999999999,9.280499999999999e-05,0.20945000000000003,0.0311,-3.4955,150.68200000000002,0.592
Jet,Jet,1,Jet,78.0,0.613,0.953,0.000582,0.152,0.0855,-3.435,105.046,0.537
Eric_Prydz,Eric Prydz,3,Eric_Prydz,67.66666666666667,0.5796666666666667,0.8826666666666667,0.28271666666666667,0.34756666666666663,0.15226666666666666,-5.336666666666666,125.75666666666666,0.5356666666666666
Juanes,Juanes,1,Juanes,75.0,0.751,0.731,0.0,0.0556,0.0308,-4.419,97.007,0.973
Twista,Twista,3,Twista,66.33333333333333,0.771,0.8043333333333332,0.0,0.3043333333333333,0.21466666666666664,-5.476999999999999,125.94566666666667,0.7356666666666666
Jamie_Foxx,Jamie Foxx,3,Jamie_Foxx,75.33333333333333,0.6203333333333334,0.6809999999999999,0.0,0.15946666666666667,0.20733333333333334,-5.552333333333333,138.067,0.532
Sasha,Sasha,1,Sasha,72.0,0.765,0.666,0.0,0.116,0.172,-5.384,87.002,0.757
Jeremy_Harding,Jeremy Harding,1,Jeremy_Harding,72.0,0.765,0.666,0.0,0.116,0.172,-5.384,87.002,0.757
Murray_Elias,Murray Elias,1,Murray_Elias,72.0,0.765,0.666,0.0,0.116,0.172,-5.384,87.002,0.757
The_Rasmus,The Rasmus,1,The_Rasmus,71.0,0.6,0.796,5.2e-05,0.484,0.0275,-4.481,105.991,0.75
Ciara,Ciara,9,Ciara,68.33333333333333,0.7918888888888889,0.6212222222222221,0.0008944955555555556,0.14759999999999998,0.09134444444444445,-7.17388888888889,118.74566666666666,0.5553333333333333
Petey_Pablo,Petey Pablo,2,Petey_Pablo,71.0,0.7909999999999999,0.669,7.6e-07,0.33099999999999996,0.11355,-5.0120000000000005,103.508,0.752
Tim_McGraw,Tim McGraw,2,Tim_McGraw,66.5,0.53,0.5315000000000001,6.85e-07,0.12125,0.055,-8.873999999999999,164.864,0.441
Akon,Akon,19,Akon,70.05263157894737,0.8006315789473685,0.6455263157894737,3.27e-05,0.24061052631578952,0.06782105263157896,-5.681947368421053,110.22042105263158,0.5680526315789475
Gary_Jules,Gary Jules,1,Gary_Jules,70.0,0.344,0.0585,0.000362,0.103,0.0373,-17.212,174.149,0.323
Michael_Andrews,Michael Andrews,1,Michael_Andrews,70.0,0.344,0.0585,0.000362,0.103,0.0373,-17.212,174.149,0.323
Kevin_Lyttle,Kevin Lyttle,1,Kevin_Lyttle,70.0,0.677,0.682,0.0,0.0351,0.0361,-6.879,106.279,0.875
JoJo,JoJo,2,JoJo,72.0,0.5589999999999999,0.6819999999999999,3.18e-05,0.0807,0.1286,-6.041,84.72550000000001,0.594
Natasha_Bedingfield,Natasha Bedingfield,3,Natasha_Bedingfield,73.66666666666667,0.7203333333333334,0.7719999999999999,0.0,0.07996666666666666,0.055600000000000004,-5.753,102.33966666666667,0.7383333333333333
Nina_Sky,Nina Sky,1,Nina_Sky,69.0,0.87,0.712,0.000331,0.0576,0.0432,-6.313,121.057,0.877
Jabba,Jabba,1,Jabba,69.0,0.87,0.712,0.000331,0.0576,0.0432,-6.313,121.057,0.877
Spiderbait,Spiderbait,1,Spiderbait,68.0,0.562,0.865,0.591,0.219,0.0922,-6.476,124.047,0.35
Terror_Squad,Terror Squad,1,Terror_Squad,68.0,0.783,0.916,0.0,0.0746,0.415,-3.344,95.321,0.695
Remy_Ma,Remy Ma,1,Remy_Ma,68.0,0.783,0.916,0.0,0.0746,0.415,-3.344,95.321,0.695
The_Shapeshifters,The Shapeshifters,1,The_Shapeshifters,68.0,0.753,0.835,8.74e-05,0.13,0.0533,-4.631,123.943,0.669
T.I.,T.I.,11,T.I.,71.0,0.6739999999999999,0.7114545454545455,3.763636363636364e-06,0.3073272727272727,0.18728181818181822,-5.241454545454546,124.02236363636362,0.6072727272727273
JUVENILE,JUVENILE,1,JUVENILE,66.0,0.713,0.734,0.0,0.0687,0.325,-4.894,172.872,0.89
Soulja_Slim,Soulja Slim,1,Soulja_Slim,66.0,0.713,0.734,0.0,0.0687,0.325,-4.894,172.872,0.89
Anastacia,Anastacia,2,Anastacia,62.5,0.6305000000000001,0.8069999999999999,0.0,0.18595,0.034699999999999995,-4.0595,101.3475,0.39749999999999996
Eamon,Eamon,1,Eamon,66.0,0.828,0.653,3.25e-06,0.0404,0.0653,-6.245,68.507,0.575
Lil'_Flip,Lil' Flip,1,Lil'_Flip,65.0,0.814,0.387,0.0,0.131,0.0946,-9.867,93.961,0.792
Lea,Lea,1,Lea,65.0,0.814,0.387,0.0,0.131,0.0946,-9.867,93.961,0.792
G-Unit,G-Unit,1,G-Unit,65.0,0.513,0.826,0.0,0.0675,0.132,-3.651,76.91,0.889
Lloyd,Lloyd,4,Lloyd,69.25,0.66375,0.71225,0.0,0.154725,0.27194999999999997,-6.421,120.29625,0.5955
Jason_Weaver,Jason Weaver,1,Jason_Weaver,64.0,0.765,0.821,0.0,0.217,0.183,-5.926,162.519,0.962
